COGs,Human,Algae,Acuatic,Aves,Fish,Fungi,Mamalia,Nematoda,Plants,Reptilia,Soil,Wastewater,Others,RH,NRH,Animals
COG:COG3065,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COG:COG3715,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COG:COG3966,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COG:COG4086,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COG:COG3315,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
COG:COG3376,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
COG:COG4154,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
COG:COG4294,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
COG:COG0536,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
COG:COG0781,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
COG:COG1776,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
COG:COG5464,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
COG:COG1606,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG1691,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG1920,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG2045,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG2086,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG2317,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG2357,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG2919,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG3057,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG3068,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG3076,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG3238,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG3449,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG3704,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG3878,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG4211,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG4237,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG4952,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG5016,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG3527,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COG:COG1465,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COG:COG4105,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COG:COG3033,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
COG:COG1573,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
COG:COG2114,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
COG:COG1232,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG2916,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG4170,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG1621,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
COG:COG3702,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
COG:COG1032,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG4776,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG3237,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
COG:COG1058,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
COG:COG1295,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COG:COG2268,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COG:COG1525,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG5277,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG2313,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG4310,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COG:COG4571,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG0710,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
COG:COG4763,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG0563,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
COG:COG5444,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
COG:COG1785,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
COG:COG1449,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
COG:COG1708,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
COG:COG2269,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
COG:COG3049,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
COG:COG4135,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
COG:COG0650,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
COG:COG1206,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
COG:COG1260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
COG:COG1763,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
COG:COG1825,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
COG:COG3336,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
COG:COG3591,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
COG:COG3678,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
COG:COG3717,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
COG:COG3973,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
COG:COG4225,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
COG:COG2082,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
COG:COG2099,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
COG:COG3203,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
COG:COG3722,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
COG:COG5450,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
COG:COG0362,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
COG:COG0448,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
COG:COG3670,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1
COG:COG4134,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1
COG:COG1386,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
COG:COG2336,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
COG:COG3261,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1
COG:COG0391,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
COG:COG1060,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
COG:COG3386,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
